GDP,Consumption,Investment PNFI,T3M,BAA,Ten_yr
3121.936,1923.675,169.8803,2.7733,4.87,3.99
3192.38,1953.384,174.7639,3,4.9533,4.2567
3194.653,1973.791,179.471,3.54,5.1167,4.5033
3203.759,1976.014,178.9702,4.23,5.2733,4.5833
3275.757,1994.918,185.1905,3.8733,5.31,4.4867
3258.088,2020.082,187.8959,2.9933,5.2467,4.26
3274.029,2012.008,184.6075,2.36,5.1033,3.8333
3232.009,2014.614,184.1738,2.3067,5.0967,3.8867
3253.826,2013.865,181.5458,2.35,5.0633,3.7867
3309.059,2043.835,185.5945,2.3033,5.0167,3.79
3372.581,2053.774,187.4095,2.3033,5.1067,3.98
3438.721,2095.084,193.114,2.46,5.1133,3.9733
3500.054,2117.277,196.9755,2.7233,5.0633,4.0167
3531.683,2143.306,202.3081,2.7167,5.0133,3.8733
3575.07,2160.58,204.8118,2.84,5.0467,3.99
3586.827,2191.15,204.05,2.8133,4.9567,3.9033
3625.981,2206.499,204.5314,2.9067,4.8933,3.8933
3666.669,2227.32,210.8907,2.94,4.8533,3.9633
3747.278,2257.536,216.6854,3.2933,4.8367,4.0333
3771.845,2276.347,223.0062,3.4967,4.84,4.12
3851.366,2321.024,227.6899,3.53,4.83,4.18
3893.296,2362.081,233.0175,3.4767,4.85,4.2
3954.121,2405.713,240.5177,3.4967,4.8233,4.1933
3966.335,2412.58,245.6431,3.6833,4.81,4.1733
4062.311,2466.382,261.2844,3.89,4.7867,4.2033
4113.629,2493.584,270.8879,3.8733,4.82,4.2067
4205.086,2536.43,280.7371,3.8667,4.89,4.2467
4301.973,2607.736,292.1582,4.1667,4.9667,4.4733
4406.693,2646.233,304.3991,4.61,5.1667,4.77
4421.747,2653.014,309.398,4.5867,5.49,4.78
4459.195,2683.309,313.4864,5.0433,5.8667,5.14
4495.777,2694.488,313.4796,5.21,6.1367,5.0033
4535.591,2710.014,308.396,4.5133,5.88,4.5833
4538.37,2747.064,307.6588,3.66,5.98,4.82
4581.309,2761.129,307.1291,4.3,6.33,5.2467
4615.853,2778.026,313.3091,4.7533,6.7233,5.6433
4709.993,2844.601,322.5355,5.05,6.83,5.61
4788.688,2887.917,318.5762,5.52,7.0233,5.7433
4825.799,2942.042,322.9465,5.1967,6.8633,5.46
4844.779,2955.313,331.7522,5.5867,7.0267,5.77
4920.605,2988.082,340.2452,6.0933,7.3767,6.1767
4935.564,3007.358,343.953,6.1967,7.5867,6.3533
4968.164,3022.02,351.7775,7.0233,7.9167,6.8567
4943.935,3046.173,349.9305,7.3533,8.3733,7.2967
4936.594,3065.074,347.4683,7.21,8.7567,7.3667
4943.6,3078.959,345.1925,6.6767,8.9767,7.7133
4989.159,3105.952,346.4071,6.3267,9.41,7.46
4935.693,3097.52,334.525,5.3533,9.2767,6.8533
5069.746,3156.978,337.28,3.84,8.53,6.0167
5097.179,3185.993,341.8731,4.25,8.6067,6.2467
5139.128,3211.394,343.3754,5.01,8.7033,6.4833
5151.245,3264.679,350.3993,4.23,8.4133,5.89
5245.974,3307.767,361.559,3.4367,8.2333,6.0333
5365.045,3370.736,367.4638,3.77,8.2233,6.1433
5415.712,3422.682,372.8506,4.22,8.17,6.29
5506.396,3503.001,390.7092,4.8633,7.9933,6.3733
5642.669,3566.957,407.0873,5.7,7.9667,6.6033
5704.098,3565.349,422.2225,6.6033,8.0933,6.8067
5674.1,3577.898,428.7323,8.3233,8.4667,7.2067
5727.96,3567.227,431.9538,7.5,8.4367,6.7533
5678.713,3535.312,431.5084,7.6167,8.5433,7.0533
5692.21,3548.041,430.7668,8.1533,9.0633,7.5433
5638.411,3563.282,426.3713,8.19,9.81,7.9633
5616.526,3511.197,415.1656,7.36,10.57,7.67
5548.156,3540.647,391.4807,5.75,10.6467,7.54
5587.8,3598.886,382.0741,5.3933,10.63,8.05
5683.444,3650.035,386.1457,6.33,10.5833,8.2967
5759.972,3689.285,390.7533,5.6267,10.58,8.0633
5889.5,3763.048,399.1237,4.9167,10.2567,7.7533
5932.711,3797.67,404.424,5.1567,9.8967,7.7733
5965.265,3837.654,413.2671,5.15,9.62,7.73
6008.504,3887.447,421.2525,4.6733,9.2133,7.19
6079.494,3933.268,436.6002,4.63,9.1067,7.3533
6197.686,3954.596,448.6686,4.84,8.9967,7.37
6309.514,3991.989,457.6186,5.4967,8.83,7.3567
6309.652,4052.01,471.5443,6.11,8.9433,7.5967
6329.791,4074.774,475.6775,6.3933,9.1967,8.01
6574.39,4161.887,512.5269,6.4767,9.47,8.32
6640.497,4179.363,529.919,7.3133,9.5,8.49
6729.755,4213.088,547.0375,8.57,9.7867,8.82
6741.854,4234.909,559.6269,9.3833,10.1567,9.1067
6749.063,4232.159,559.0877,9.3767,10.3933,9.1133
